,"You are currently using XLSTAT Free.
Order a license to get access to 100 or more additional functions.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,XLSTAT 2019.1.1.56116  - Linear regression - Start time: 9/10/2019 at 8:25:51 PM / End time: 9/10/2019 at 8:25:52 PM / Microsoft Excel 16.011929,,,,,,,,,,,,,,,,,
,These results have been generated using XLSTAT Free. You can benefit from many more tools and options with a full version.,,,,,,,,,,,,,,,,,
,Y / Dependent variables: Workbook = NC9.xlsm / Sheet = input / Range = 'input'!$C$1:$C$9 / 8 rows and 1 column,,,,,,,,,,,,,,,,,
,X / Quantitative: Workbook = NC9.xlsm / Sheet = input / Range = 'input'!$D$1:$G$9 / 8 rows and 4 columns,,,,,,,,,,,,,,,,,
,Observation weights: Workbook = NC9.xlsm / Sheet = input / Range = 'input'!$B$1:$B$9 / 8 rows and 1 column,,,,,,,,,,,,,,,,,
,Prediction / X / Quantitative: Workbook = NC9.xlsm / Sheet = input / Range = 'input'!$D$10:$G$10 / 1 row and 4 columns,,,,,,,,,,,,,,,,,
,Confidence interval (%): 90,,,,,,,,,,,,,,,,,
,Tolerance: 0.0001,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Summary statistics:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Variable,Observations,Obs. with missing data,Obs. without missing data,Minimum,Maximum,Mean,Std. deviation,,,,,,,,,,
,Bishop Margin,8,0,8,-0.141,0.062,-0.074,0.057,,,,,,,,,,
,% Registered Democrat Margin,8,0,8,-0.126,0.323,0.146,0.111,,,,,,,,,,
,Trump Margin,8,0,8,-0.154,0.160,-0.077,0.107,,,,,,,,,,
,Senior (Over 65),8,0,8,0.104,0.192,0.115,0.020,,,,,,,,,,
,Bachelor's,8,0,8,0.092,0.441,0.343,0.119,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Summary statistics (Quantitative data / Prediction):,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Variable,Observations,Obs. with missing data,Obs. without missing data,Minimum,Maximum,Mean,Std. deviation,,,,,,,,,,
,% Registered Democrat Margin,1,0,1,-0.040,-0.040,-0.040,0.000,,,,,,,,,,
,Trump Margin,1,0,1,0.120,0.120,0.120,0.000,,,,,,,,,,
,Senior (Over 65),1,0,1,0.145,0.145,0.145,0.000,,,,,,,,,,
,Bachelor's,1,0,1,0.349,0.349,0.349,0.000,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Correlation matrix:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,% Registered Democrat Margin,Trump Margin,Senior (Over 65),Bachelor's,Bishop Margin,,,,,,,,,,,,
,% Registered Democrat Margin,1,-0.523,0.286,-0.328,-0.820,,,,,,,,,,,,
,Trump Margin,-0.523,1,0.527,-0.560,0.830,,,,,,,,,,,,
,Senior (Over 65),0.286,0.527,1,-0.781,0.248,,,,,,,,,,,,
,Bachelor's,-0.328,-0.560,-0.781,1,-0.206,,,,,,,,,,,,
,Bishop Margin,-0.820,0.830,0.248,-0.206,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Regression of variable Bishop Margin:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Goodness of fit statistics (Bishop Margin):,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Observations,1719453.000,,,,,,,,,,,,,,,,
,Sum of weights,1719453.000,,,,,,,,,,,,,,,,
,DF,1719448.000,,,,,,,,,,,,,,,,
,R²,0.966,,,,,,,,,,,,,,,,
,Adjusted R²,0.966,,,,,,,,,,,,,,,,
,MSE,0.000,,,,,,,,,,,,,,,,
,RMSE,0.011,,,,,,,,,,,,,,,,
,MAPE,10.318,,,,,,,,,,,,,,,,
,DW,0.000,,,,,,,,,,,,,,,,
,Cp,5.000,,,,,,,,,,,,,,,,
,AIC,-15641509.097,,,,,,,,,,,,,,,,
,SBC,-15641447.309,,,,,,,,,,,,,,,,
,PC,0.034,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Analysis of variance  (Bishop Margin):,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Source,DF,Sum of squares,Mean squares,F,Pr > F,,,,,,,,,,,,
,Model,4,5419.535,1354.884,12094573.493,< 0.0001,,,,,,,,,,,,
,Error,1719448,192.620,0.000,,,,,,,,,,,,,,
,Corrected Total,1719452,5612.154,,,,,,,,,,,,,,,
,Computed against model Y=Mean(Y),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Model parameters (Bishop Margin):,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Source,Value,Standard error,t,Pr > |t|,Lower bound (90%),Upper bound (90%),,,,,,,,,,,
,Intercept,-0.044,0.000,-404.338,< 0.0001,-0.044,-0.044,,,,,,,,,,,
,% Registered Democrat Margin,-0.617,0.000,-2997.348,< 0.0001,-0.617,-0.617,,,,,,,,,,,
,Trump Margin,-0.127,0.000,-515.063,< 0.0001,-0.128,-0.127,,,,,,,,,,,
,Senior (Over 65),1.069,0.001,1401.429,< 0.0001,1.068,1.070,,,,,,,,,,,
,Bachelor's,-0.213,0.000,-1238.509,< 0.0001,-0.213,-0.213,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Equation of the model (Bishop Margin):,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Bishop Margin = -4.38790436122641E-02-0.616841042466898*% Registered Democrat Margin-0.127285617994295*Trump Margin+1.06888961343104*Senior (Over 65)-0.212941104584071*Bachelor's,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Standardized coefficients (Bishop Margin):,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Source,Value,Standard error,t,Pr > |t|,Lower bound (90%),Upper bound (90%),,,,,,,,,,,
,% Registered Democrat Margin,-1.195,0.000,-2997.348,< 0.0001,-1.195,-1.194,,,,,,,,,,,
,Trump Margin,-0.237,0.000,-515.063,< 0.0001,-0.238,-0.237,,,,,,,,,,,
,Senior (Over 65),0.369,0.000,1401.429,< 0.0001,0.369,0.370,,,,,,,,,,,
,Bachelor's,-0.442,0.000,-1238.509,< 0.0001,-0.443,-0.442,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Predictions and residuals (Bishop Margin):,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Observation,Weight,Bishop Margin,Pred(Bishop Margin),Residual,Std. residual,Std. dev. on pred. (Mean),Lower bound 90% (Mean),Upper bound 90% (Mean),Std. dev. on pred. (Observation),Lower bound 90% (Observation),Upper bound 90% (Observation),,,,,,
,Obs1,26948,-0.141,-0.070,-0.071,-6.752,0.000,-0.070,-0.070,0.011,-0.087,-0.052,,,,,,
,Obs2,35190,0.013,-0.018,0.031,2.902,0.000,-0.018,-0.018,0.011,-0.035,-0.000,,,,,,
,Obs3,319431,-0.062,-0.068,0.006,0.533,0.000,-0.068,-0.068,0.011,-0.085,-0.051,,,,,,
,Obs4,919628,-0.105,-0.105,-0.000,-0.045,0.000,-0.105,-0.105,0.011,-0.122,-0.087,,,,,,
,Obs5,46639,-0.020,-0.032,0.013,1.206,0.000,-0.032,-0.032,0.011,-0.050,-0.015,,,,,,
,Obs6,134168,-0.128,-0.127,-0.001,-0.141,0.000,-0.127,-0.127,0.011,-0.144,-0.110,,,,,,
,Obs7,36157,-0.065,-0.062,-0.003,-0.324,0.000,-0.062,-0.062,0.011,-0.079,-0.044,,,,,,
,Obs8,201292,0.062,0.066,-0.004,-0.370,0.000,0.066,0.066,0.011,0.049,0.084,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Predictions for the new observations (Bishop Margin):,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Observation,Pred(Bishop Margin),Std. dev. on pred. (Mean),Lower bound 90% (Mean),Upper bound 90% (Mean),Std. dev. on pred. (Observation),Lower bound 90% (Observation),Upper bound 90% (Observation),,,,,,,,,,
,PredObs1,0.046,0.000,0.046,0.046,0.011,0.029,0.064,,,,,,,,,,
