County,Bishop,McCready,Scott,Rpt.,,Bishop,McCready,Total,,Bishop,McCready,Pittinger Margin,,Leader,Pittinger,,Second,Cano,,Other %,5%,,MULTIPLE FINAL RESULT BY ,,,95%
Anson,"2,375","3,159",15,100,,"2,375","3,159","5,534",,0,,0,,,,,,,,,,,,,,
Bladen,"2,041","1,716",12,58,,"2,041","1,716","3,757",,1,,1,,,,,,,,,,,,,,
Cumberland,"4,311","4,862",28,55,,"4,311","4,862","9,173",,0,,0,,,,,,,,,,,,,,
Mecklenburg,"24,081","31,615",222,76,,"24,081","31,615","55,696",,0,,0,,,,,,,,,,,,,,
Richmond,"4,713","4,276",39,100,,"4,713","4,276","8,989",,1,,1,,,,,,,,,,,,,,
Robeson,"9,454","10,054",53,92,,"9,454","10,054","19,508",,0,,0,,,,,,,,,,,,,,
Scotland,"2,804","3,644",21,100,,"2,804","3,644","6,448",,0,,0,,,,,,,,,,,,,,
Union,"36,165","23,751",306,100%,,"36,165","23,751","59,916",,1,,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"85,944","83,077",,,,"85,944","83,077","169,021",,1,,1,,,,,,,,,,,,,,
