County,Totals,Bishop_Margin,Latino ,with_bachelors ,union_membership ,"family_income_75,000",% White
Carson City,55274,,0.23,0.22,,0.30,0.84
Churchill County,24877,,0.13,0.18,,0.32,0.85
Clark County,2204079,,0.29,0.23,,0.35,0.61
Douglas County,46997,,0.12,0.27,,0.39,0.91
Elko County,48818,,0.24,0.18,,0.51,0.87
Esmeralda County,783,,0.16,0.17,,0.18,0.90
Eureka County,1987,,0.02,0.14,,0.49,0.98
Humboldt County,16528,,0.24,0.15,,0.48,0.79
Lander County,5775,,0.27,0.13,,0.55,0.89
Lincoln County,5345,,0.09,0.22,,0.29,0.87
Lyon County,51980,,0.14,0.15,,0.30,0.85
Mineral County,4772,,0.11,0.14,,0.25,0.66
Nye County,43946,,0.14,0.12,,0.23,0.83
Pershing County,6753,,0.24,0.14,,0.34,0.83
Storey County,4010,,0.07,0.23,,0.38,0.95
Washoe County,460587,,0.24,0.30,,0.38,0.80
White Pine County,10030,,0.15,0.15,,0.34,0.86
Total,0,,,,,,
