,Unnamed: 0_level_0,Unnamed: 1_level_0,"Bennet, Michael","Biden, Joe","Buttigieg, Pete","Delaney, John","Gabbard, Tulsi","Klobuchar, Amy","Patrick, Deval","Sanders, Bernie","Steyer, Tom",Uncommitted,"Warren, Elizabeth","Yang, Andrew",Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
,Area,Precincts reported,Vote Count,%,Vote Count,%,Vote Count,%,Vote Count,%,Vote Count,%,Vote Count,%,Vote Count,%,Vote Count,%,Vote Count,%,Vote Count,%,Vote Count,%,Vote Count,%
0,Nevada,0/2097,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
1,Churchill,0/19,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
2,Clark,0/1257,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
3,Douglas,0/42,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
4,Elko,0/41,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
5,Esmeralda,0/5,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
6,Eureka,0/4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
7,Humboldt,0/15,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
8,Lander,0/9,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
9,Lincoln,0/5,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
10,Lyon,0/40,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
11,Mineral,0/12,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
12,Nye,0/33,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
13,Pershing,0/6,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
14,Storey,0/15,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
15,Washoe,0/558,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
16,White Pine,0/10,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
17,Carson City,0/26,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
